1013.H000,Pre-AP English I
3313.H000,Pre-AP Algebra I
3413.H000,Pre-AP Geometry
3413.H100,Geometry with Proofs
3323.H000,Pre-AP Algebra II
3323.H100,Algebra II with Proofs
3633.H000,Precalculus AB
3633.H100,Precalculus BC
1830.R000,Yearbook I
1823.R000,Newspaper I
8280.HTOC,Electronic Magazine
4023.H000,Science and Technology
4123.H000,Pre-AP Biology
4513.H000,Pre-AP W. Geography
1539.H000,Debate
2461.R000,Chinese I
2462.R000,Chinese II
2013.R000,French I
2023.R000,French II
2033.H000,Pre-AP French III
2113.R000,German I
2123.R000,German II
2133.H000,Pre AP German III
2471.R000,Japanese I
2472.R000,Japanese II
2213.R000,Latin I
2223.R000,Latin II
2233.H000,Pre AP Latin III
2313.R000,Spanish I
2323.R000,Spanish II
2333.R000,Regular Spanish III
2333.H000,Pre AP Spanish III
5001.R000,Art I
1643.R000,Theatre Arts I
1644.R000,Technical Theatre I
5621.R000,Varsity Mixed Choir I
5912.H000,Pre-AP Music Theory II
6331.R010,Marching Band I
5331.R000,Concert Band I
5341.R000,Jazz Ensemble I
5521.R000,Stage Band I
5421.R000,Symphonic Orchestra I
5521.R200,Piano I
5521.R300,Guitar I
8542.HT0C,Computer Programming
3803.P000,AP Computer Science I
8262.HT0C,Audio Video Production
6011.R000,Personal Fitness
6012.R000,Aerobic Activity I
6021.R000,Individual Sports I
6901.R110,9th Boys Wrestling (A.S.)
6901.R120,9th Boys Wrestling (A.S.)
6901.R210,9th Girls Wrestling (A.S.)
6901.R220,9th Girls Wrestling (A.S.)
6911.R020,9th Baseball (A.S.)
6912.R110,9th Boys Basketball
6912.R120,9th Boys Basketball
6912.R210,9th Girls Basketball
6912.R220,9th Girls Basketball
6913.R210,9th Girls Track & Field (A.S.)
6913.R110,9th Boys Track & Field (A.S.)
6914.R110,9th Boys Cross Country (Bf.S.)
6914.R210,9th Girls Cross Country (Bf.S.)
6915.R010,9th Volleyball (A.S.)
6916.R110,9th Boys Golf (A.S.)
6916.R120,9th Boys Golf (A.S.)
6916.R210,9th Girls Golf (A.S.)
6916.R220,9th Girls Golf (A.S.)
6918.R010,9th Swimming (Bf.S.)
6919.R010,9th Tennis (A.S.)
6919.R020,9th Tennis (A.S.)
6923.R010,9th Football
6923.R020,9th Football
6924.R120,9th Boys Soccer (A.S.)
6924.R220,9th Girls Soccer (A.S.)
6925.R020,9th Softball (A.S.)
5951.R000,Dance I (Fine Arts Credit)
6565.R000,Dance I (PE Credit)
6566.R000,Dance I (PE Credit)
1023.H000,Pre-AP English II
1033.P000,AP English III
1043.P000,AP English IV
1435.H000,"Creative Writing, P1"
1849.R000,"Literary Magazine I, P2"
1852.H000,"Literary Magazine II, P2"
1855.H000,"Literary Magazine III, P2"
1435.H100,Screenwriting
1435.H100,Screenwriting
1448.H000,Film Into Literature
1448.H100,Philosophy
1448.H200,Song Writing
1432.H000,"Music and Revolution, P1"
1441.H000,Great Ideas
4206.H000,Planet Earth
0831.F000,Office/Teacher Aide
0831.F000,Office/Teacher Aide
1525.R000,Communication Applications
9343.R000,PRALS I
9353.R000,PRALS II
1830.R000,Adv. Journ. Yearbook I
1831.H000,Adv. Journ. Yearbook II
1832.H000,Adv. Journ. Yearbook III
1848.H000,Yearbook Editors 1st Time Taken
1848.H100,Yearbook Editors 2nd Time Taken
1823.R000,Adv. Journ. Newspaper I
1833.H000,Adv.Journ. Newspaper II
1843.H000,Adv.Journ. Newspaper III
1848.H000,Newspaper Editors 1st Time Taken
1848.H100,Newspaper Editors 2nd Time Taken
1420.R000,Delta
9511.R100,Off First Period
9512.R100,Off Second Period
9517.R100,Off Seventh Period
9518.R000,Off Eighth Period
9511.R000,Off First Period
9512.R000,Off Second Period
9517.R000,Off Seventh Period
9518.R000,Off Eighth Period
3413.H000,Pre-AP Geometry
3413.H100,Geometry with Proofs
3323.H000,Pre-AP Algebra II
3323.H100,Algebra II with Proofs
3633.H000,Precalculus AB
3633.H100,Precalculus BC
3510.H000,Adv Mathematical Reasoning
3628.P000,AP Statistics
3613.P000,AP Calculus AB
3616.P000,AP Calculus BC
8376.RC0C,Statistics and Risk Management
3644.H000,Differential Equations
3646.H000,Multivariable Calculus
3625.H000,Linear Algebra
3463.H000,Number Theory
3510.H000,"Logic, Set Theory, and Proofs"
4323.H000,Pre-AP Chemistry
4424.H000,Pre-AP Physics
4437.P000,AP Physics B
